regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.8,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.8,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.7,22.8,0.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.7,22.8,0.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.3,22.8,0.5,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.3,22.8,0.5,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.0,22.8,0.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.0,22.8,0.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.7,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.7,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.1,22.8,0.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.1,22.8,0.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.9,22.8,0.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.9,22.8,0.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.5,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.5,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.5,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.5,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.2,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.2,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.9,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.9,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.0,22.8,0.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.0,22.8,0.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.6,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
